"P.trt","P.lim","P.cID","P.daynumber","P.tm.pt","P.iso","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.N","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.P","C.NA","C.NA","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.N","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","T.P","NA","global"
"T","N","N3","23","5","2","5N32","1","1","0","0","1","1","1","0",NA,"0","0","0","1","0","1","0","0","0","0","0","0","0","0",NA,"0","1","1","0","1","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0",NA,NA,NA,NA,"1","0",NA,NA,"1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1","1","0","1","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1",NA,"1","1","1","1","1",NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1","1","1","1",NA,NA,"1","0","1","1","1",NA,"1","1","1","1","1","1",NA,"0","0","1","1","1","1",NA,"0","1","1","0","0","1",NA,NA,0.373134328358209
"T","N","N3","23","5","3","5N33","0","1","1","1","1","1","1","1",NA,"1","1","1","0","1","0","1","1","1","1","0","1","1","1",NA,"1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1",NA,NA,NA,NA,"1","1",NA,NA,"1","0","0","1","0","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1",NA,"1","1","1","1","1",NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"0","1","1","1",NA,NA,"0","0","1","1","1",NA,"1","1","1","1","1","1",NA,"0","1","1","0","1","1",NA,"1","1","1","1","1","1",NA,NA,0.134328358208955
"T","N","N5","23","5","1","5N51","0","0","0","0","1","1","0","0",NA,"0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0",NA,NA,NA,NA,"1","0",NA,NA,"1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1","1","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1",NA,"1","1","1","1","1",NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1","1","1","1",NA,NA,"1","0","1","1","1",NA,"1","1","1","1","1","1",NA,"0","0","1","0","1","1",NA,"0","1","1","0","0","1",NA,NA,0.422885572139304
"T","N","N5","23","5","2","5N52","1","0","0","0","1","1","0","0",NA,"0","0","0","0","0","1","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0","0","1","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0",NA,NA,NA,NA,"1","0",NA,NA,"1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1","1","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","1","1","1","1",NA,"1","1","1","1","1",NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,"0","1","1","1",NA,NA,"1","0","1","1","1",NA,"1","1","1","1","1","1",NA,"0","0","1","1","1","1",NA,"0","1","1","0","0","1",NA,NA,0.417910447761194
"T","N","N5","23","5","3","5N53","1","1","1","1","1","1","1","1",NA,"1","1","1","0","1","1","1","1","1","1","1","1","1","2",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1",NA,NA,NA,NA,"1","1",NA,NA,"1","1","0","1","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1",NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"0","1","1","1",NA,NA,"0","0","1","1","1",NA,"0","1","1","1","1","1",NA,"1","1","1","1","0","1",NA,"1","1","1","1","1","1",NA,NA,0.0597014925373134
"T","N","N2","72","12","1","12N21","0","0","0","0","1","1","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0",NA,NA,NA,NA,"1","0",NA,NA,"1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1","1","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","0","0",NA,"0","0","0","0","1","1","1","1",NA,"1","1","1","1","1",NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1","1","1","1",NA,NA,"1","0","1","1","1",NA,"1","1","1","1","1","1",NA,"0","0","1","0","1","1",NA,"0","1","1","0","0","1",NA,NA,0.43
"T","N","N2","72","12","2","12N22","1","0","0","0","1","1","1","0",NA,"0","0","0","1","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0",NA,NA,NA,NA,"1","0",NA,NA,"1","0","1","0","0","2","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1","1","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1",NA,"1","1","1","1","1",NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1","1","1","1",NA,NA,"1","0","1","1","1",NA,"1","1","1","1","1","1",NA,"0","0","1","0","1","1",NA,"1","1","1","0","0","1",NA,NA,0.398009950248756
"T","N","N2","72","12","3","12N23","0","1","0","0","1","1","1","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","1","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0",NA,NA,NA,NA,"1","0",NA,NA,"0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1","1","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1",NA,"1","1","1","1","1",NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,"0","1","1","1",NA,NA,"1","0","1","1","1",NA,"1","1","1","1","1","1",NA,"0","0","1","0","1","1",NA,"0","1","1","0","0","1",NA,NA,0.412935323383085
"T","N","N2","72","12","4","12N24","0","0","0","0","1","1","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0",NA,NA,NA,NA,"1","0",NA,NA,"0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1","1","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","1","1","1","1",NA,"1","1","1","1","1",NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,"0","1","1","1",NA,NA,"1","0","1","1","1",NA,"1","1","1","1","1","1",NA,"0","0","1","1","1","1",NA,"0","1","1","0","0","1",NA,NA,0.437810945273632
"T","N","N2","72","12","5","12N25","0","1","1","1","1","1","0","1",NA,"1","1","1","1","1","0","0","0","0","1","0","1","1","1",NA,"1","1","1","0","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,"1","1",NA,NA,"0","1","1","1","1","2","1","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1","1","0","0","0","1","0","1","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","0","0","0","0","0","0","1","1","1","1",NA,"1","1","1","1","1",NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1","1","1","1",NA,NA,"1","0","1","1","1",NA,"1","1","1","1","1","1",NA,"1","1","1","1","1","1",NA,"1","1","1","1","1","1",NA,NA,0.169154228855721
